,Nome,Preço USD$
0,Snakebite Case,0.5700000000000001
1,Caixa do Aperto,0.17
2,Lendas da CRM 2020,0.41000000000000003
3,Caixa Fraturada,0.15
4,Caixa das Luvas,1.68
5,2ª Caixa Espectral,0.35000000000000003
6,Caixa Espectral,0.66
7,2ª Caixa Gama,0.49
8,Caixa de Armas da Operação Fênix,1.06
9,AK-47 | Linhas Vermelhas (Testada em Campo),14.0
10,Caixa de Armas da Operação Libertação,2.5300000000000002
11,USP-S | Folhas da Floresta (Testada em Campo),0.09
12,Caixa CS20,0.16
13,SSG 08 | Azul Elegante (Testada em Campo),0.04
14,Caixa da Zona de Perigo,0.08
15,Caixa da Operação Presa Quebrada,0.49
16,Desafiantes Regionais da CRM 2020,0.32
17,Caixa Cromática,0.9500000000000001
18,Caixa Gama,0.32
19,AK-47 | Tons de Preto (Testada em Campo),5.29
